user_id,install_date,last_active_date,subscription_type,country,total_sessions,page_views,download_clicks,activation_status,days_active,pro_upgrade_date,plan_type,monthly_revenue,churned
1,6/29/2023,7/12/2023,Free,UK,3,15,1,1,13,,,0,1
2,4/10/2023,7/25/2023,Free,India,133,665,0,1,106,,,0,0
3,10/25/2023,12/7/2023,Free,USA,53,106,0,1,43,,,0,0
4,8/26/2023,11/9/2023,Pro,Canada,242,242,0,1,75,11/9/2023,Basic,49,0
5,5/14/2023,11/22/2023,Free,UK,12,48,0,1,192,,,0,0
6,12/17/2023,12/28/2023,Free,Canada,92,460,0,1,11,,,0,1
7,7/29/2023,11/26/2023,Free,UK,12,12,0,1,120,,,0,0
8,1/12/2023,1/24/2023,Free,USA,115,230,0,1,12,,,0,1
9,9/19/2023,12/2/2023,Free,USA,67,201,0,1,74,,,0,0
10,4/19/2023,8/21/2023,Free,Germany,46,138,0,1,124,,,0,0
11,8/26/2023,12/11/2023,Free,Australia,23,92,0,1,107,,,0,0
12,7/6/2023,7/9/2023,Free,Germany,29,29,0,1,3,,,0,1
13,8/17/2023,9/25/2023,Free,Canada,24,120,0,1,39,,,0,0
14,2/3/2023,3/26/2023,Free,Germany,7,21,0,1,51,,,0,0
15,2/22/2023,9/14/2023,Pro,USA,89,356,0,1,204,9/14/2023,Standard,99,0
16,5/8/2023,9/27/2023,Pro,USA,175,525,0,1,142,9/27/2023,Standard,49,0
17,4/6/2023,4/16/2023,Free,UK,138,138,0,1,10,,,0,1
18,3/4/2023,7/25/2023,Free,Canada,98,98,0,1,143,,,0,0
19,3/2/2023,10/23/2023,Pro,USA,22,66,0,1,235,10/23/2023,Standard,99,0
20,1/11/2023,9/26/2023,Free,USA,29,145,0,1,258,,,0,0
21,3/17/2023,8/28/2023,Free,India,38,38,0,1,164,,,0,0
22,9/27/2023,11/21/2023,Free,USA,57,114,0,1,55,,,0,0
23,8/7/2023,11/6/2023,Free,USA,121,121,0,1,91,,,0,0
24,9/23/2023,11/19/2023,Free,India,147,441,0,1,57,,,0,0
25,10/9/2023,12/21/2023,Free,Germany,61,183,0,1,73,,,0,0
26,7/13/2023,10/2/2023,Pro,USA,61,183,0,1,81,10/2/2023,Basic,99,0
27,6/5/2023,12/12/2023,Free,Germany,137,548,0,1,190,,,0,0
28,6/25/2023,9/13/2023,Free,Australia,25,25,0,1,80,,,0,0
29,6/12/2023,12/11/2023,Free,France,70,210,0,1,182,,,0,0
30,6/17/2023,11/8/2023,Pro,USA,277,1108,0,1,144,11/8/2023,Enterprise,99,0
31,1/31/2023,5/29/2023,Free,France,14,14,0,1,118,,,0,0
32,2/2/2023,10/4/2023,Free,Australia,110,220,0,1,244,,,0,0
33,2/10/2023,8/2/2023,Free,Germany,19,57,0,1,173,,,0,0
34,12/20/2023,1/1/2024,Free,France,53,159,1,1,12,,,0,1
35,5/30/2023,7/27/2023,Free,Canada,132,528,0,1,58,,,0,0
36,10/1/2023,10/2/2023,Free,Canada,58,116,1,1,1,,,0,1
37,6/3/2023,7/14/2023,Free,Germany,12,12,1,1,41,,,0,0
38,11/19/2023,12/5/2023,Free,Canada,6,18,0,1,16,,,0,1
39,4/10/2023,7/29/2023,Pro,Australia,81,243,0,1,110,7/29/2023,Standard,29,0
40,5/7/2023,12/15/2023,Pro,Germany,114,456,1,1,222,12/15/2023,Enterprise,99,0
41,11/29/2023,12/9/2023,Free,Germany,74,370,0,1,10,,,0,1
42,3/18/2023,12/7/2023,Free,Germany,85,170,0,1,264,,,0,0
43,5/29/2023,11/11/2023,Free,India,115,345,0,1,166,,,0,0
44,10/14/2023,12/25/2023,Free,UK,91,364,0,1,72,,,0,0
45,5/6/2023,6/30/2023,Free,France,141,564,0,1,55,,,0,0
46,1/1/2024,1/1/2024,Free,France,57,171,0,1,0,,,0,1
47,6/15/2023,10/12/2023,Free,Canada,24,96,0,1,119,,,0,0
48,5/15/2023,9/12/2023,Free,Australia,125,500,0,1,120,,,0,0
49,6/11/2023,7/23/2023,Free,France,55,55,0,1,42,,,0,0
50,3/20/2023,11/8/2023,Free,Germany,21,42,0,1,233,,,0,0
51,1/7/2023,8/28/2023,Free,India,4,12,0,1,233,,,0,0
52,5/31/2023,9/20/2023,Free,India,140,140,0,1,112,,,0,0
53,5/10/2023,8/20/2023,Free,USA,15,30,0,1,102,,,0,0
54,4/10/2023,8/8/2023,Free,Canada,17,51,0,1,120,,,0,0
55,10/20/2023,12/12/2023,Free,France,94,470,0,1,53,,,0,0
56,12/3/2023,12/15/2023,Free,Canada,57,114,0,1,12,,,0,1
57,11/18/2023,12/26/2023,Free,France,26,104,1,1,38,,,0,0
58,11/26/2023,12/26/2023,Free,UK,42,84,0,1,30,,,0,0
59,1/10/2023,2/19/2023,Pro,USA,12,48,0,1,40,2/19/2023,Standard,99,0
60,1/17/2023,2/8/2023,Free,Germany,54,270,0,1,22,,,0,1
61,1/31/2023,4/14/2023,Free,Australia,90,180,0,1,73,,,0,0
62,11/23/2023,11/23/2023,Free,Australia,147,294,0,1,0,,,0,1
63,5/7/2023,10/21/2023,Free,UK,107,428,0,1,167,,,0,0
64,11/12/2023,12/14/2023,Free,UK,49,49,0,1,32,,,0,0
65,3/25/2023,7/5/2023,Free,India,106,424,0,1,102,,,0,0
66,7/5/2023,10/15/2023,Pro,Australia,130,650,0,1,102,10/15/2023,Basic,49,0
67,5/6/2023,12/4/2023,Free,UK,133,532,0,1,212,,,0,0
68,1/13/2023,10/24/2023,Free,Germany,149,596,0,1,284,,,0,0
69,6/5/2023,10/19/2023,Free,Canada,41,205,0,1,136,,,0,0
70,1/19/2023,5/25/2023,Free,Canada,73,146,0,1,126,,,0,0
71,11/20/2023,11/26/2023,Free,USA,138,138,0,1,6,,,0,1
72,4/10/2023,7/11/2023,Free,Canada,147,588,0,1,92,,,0,0
73,4/30/2023,12/7/2023,Free,USA,133,133,0,1,221,,,0,0
74,10/1/2023,11/5/2023,Free,India,133,665,0,1,35,,,0,0
75,2/21/2023,8/7/2023,Free,USA,117,117,0,1,167,,,0,0
76,10/8/2023,11/10/2023,Free,Australia,14,70,0,1,33,,,0,0
77,12/23/2023,12/24/2023,Free,USA,59,59,0,1,1,,,0,1
78,9/11/2023,12/31/2023,Free,USA,11,22,0,1,111,,,0,0
79,8/14/2023,10/20/2023,Free,UK,30,60,0,1,67,,,0,0
80,9/17/2023,10/28/2023,Free,France,23,92,0,1,41,,,0,0
81,1/10/2023,12/23/2023,Free,Germany,108,216,0,1,347,,,0,0
82,10/3/2023,11/27/2023,Free,India,114,114,0,1,55,,,0,0
83,5/11/2023,9/9/2023,Free,Australia,119,119,0,1,121,,,0,0
84,1/9/2023,5/2/2023,Free,India,93,279,1,1,113,,,0,0
85,7/11/2023,7/31/2023,Free,USA,53,53,0,1,20,,,0,1
86,6/29/2023,7/11/2023,Free,India,118,590,1,1,12,,,0,1
87,6/20/2023,12/9/2023,Free,India,81,324,0,1,172,,,0,0
88,10/20/2023,12/24/2023,Free,France,118,472,0,1,65,,,0,0
89,1/1/2024,1/1/2024,Free,France,30,60,0,1,0,,,0,1
90,4/22/2023,10/24/2023,Free,Germany,137,685,0,1,185,,,0,0
91,10/8/2023,12/5/2023,Free,UK,49,196,0,1,58,,,0,0
92,2/22/2023,9/16/2023,Free,USA,133,665,0,1,206,,,0,0
93,5/2/2023,11/6/2023,Free,UK,101,404,0,1,188,,,0,0
94,2/3/2023,11/28/2023,Free,USA,103,206,0,1,298,,,0,0
95,9/18/2023,12/5/2023,Free,UK,70,210,0,1,78,,,0,0
96,6/9/2023,10/7/2023,Pro,Canada,94,376,1,1,120,10/7/2023,Basic,49,0
97,5/28/2023,11/26/2023,Pro,UK,153,459,0,1,182,11/26/2023,Standard,99,0
98,9/20/2023,11/16/2023,Pro,Germany,171,342,0,1,57,11/16/2023,Enterprise,29,0
99,3/16/2023,7/10/2023,Pro,Australia,121,121,1,1,116,7/10/2023,Basic,29,0
100,7/5/2023,11/7/2023,Free,Australia,56,56,0,1,125,,,0,0
101,6/16/2023,10/30/2023,Free,Germany,140,280,0,1,136,,,0,0
